"result_id","tier","dataset","analysis_population","analysis","outcome","comparison_or_metric","effect_measure","estimate","lower_95","upper_95","p_value","n","events","display_value","destination","submission_status","amendment"
"MIMIC_PRIMARY_P2","Primary","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official OASIS quartile-stratified Cox","365-day all-cause mortality","P2 vs P3","HR",1.8399832874602,1.4586520759854,2.32100481936086,2.66120419754656e-07,1100,550,"1.84 (1.46<U+2013>2.32)","Main Results; main effect table","USE","Amendment 16"
"MIMIC_IPW_P1","Key sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Selection-IPW official OASIS quartile-stratified Cox","365-day all-cause mortality","P1 vs P3","HR",1.94738999133244,1.47912209037081,2.56390449647806,2.03876729691628e-06,1100,550,"1.95 (1.48<U+2013>2.56)","Main Results briefly; supplementary table","SUPPORTIVE","Amendment 16"
"MIMIC_IPW_P2","Key sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Selection-IPW official OASIS quartile-stratified Cox","365-day all-cause mortality","P2 vs P3","HR",1.29576394277248,0.942598381754356,1.78125087830549,0.110513317261407,1100,550,"1.30 (0.94<U+2013>1.78)","Main Results briefly; supplementary table","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_IPW_P1","Key sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Selection-IPW official first-day SOFA quartile-stratified Cox","365-day all-cause mortality","P1 vs P3","HR",1.99109273000827,1.52181001883914,2.60508881556445,5.11453271842064e-07,1100,550,"1.99 (1.52<U+2013>2.61)","Main Results briefly; supplementary table","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_IPW_P2","Key sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Selection-IPW official first-day SOFA quartile-stratified Cox","365-day all-cause mortality","P2 vs P3","HR",1.12617954668788,0.803634645896429,1.57818030600633,0.490056165566778,1100,550,"1.13 (0.80<U+2013>1.58)","Main Results briefly; supplementary table","SUPPORTIVE","Amendment 16"
"MIMIC_HOSPITAL_P1","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Hospital mortality official OASIS adjusted logistic model","In-hospital mortality","P1 vs P3","OR",2.37789493354664,1.64925478893003,3.42844801963868,3.48209293340907e-06,1100,264,"2.38 (1.65<U+2013>3.43)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_HOSPITAL_P2","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Hospital mortality official OASIS adjusted logistic model","In-hospital mortality","P2 vs P3","OR",2.82108028548783,1.87258022855559,4.25001495573134,7.03745814745395e-07,1100,264,"2.82 (1.87<U+2013>4.25)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_LANDMARK24_P1","Sensitivity","MIMIC-IV v3.1","24-hour landmark cohort","24-hour landmark official OASIS quartile-stratified Cox","365-day all-cause mortality","P1 vs P3","HR",1.78502247156354,1.44151640930512,2.21038428936286,1.07534430076114e-07,1053,503,"1.79 (1.44<U+2013>2.21)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_LANDMARK24_P2","Sensitivity","MIMIC-IV v3.1","24-hour landmark cohort","24-hour landmark official OASIS quartile-stratified Cox","365-day all-cause mortality","P2 vs P3","HR",1.80315119818773,1.41658416090612,2.29520725506778,1.67735445064921e-06,1053,503,"1.80 (1.42<U+2013>2.30)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_OASIS_CONT_P1","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official OASIS continuous adjusted Cox","365-day all-cause mortality","P1 vs P3","HR",1.76213000066409,1.43376060666918,2.16570473815291,7.26844401081749e-08,1100,550,"1.76 (1.43<U+2013>2.17)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
