dataset,k,consensus,empirical_cdf
NHANES,6,0.92,0.8826348174087043
NHANES,6,0.93,0.8850450225112556
NHANES,6,0.9400000000000001,0.8877888944472236
NHANES,6,0.9500000000000001,0.8901880940470235
NHANES,6,0.96,0.893952476238119
NHANES,6,0.97,0.8991650825412706
NHANES,6,0.98,0.9018089044522262
NHANES,6,0.99,0.9146063031515758
NHANES,6,1,1
MIMIC-IV,2,0,0.3276151873604103
MIMIC-IV,2,0.01,0.3276151873604103
MIMIC-IV,2,0.02,0.36928447348829513
MIMIC-IV,2,0.03,0.37266606005459507
MIMIC-IV,2,0.04,0.38206468690545126
MIMIC-IV,2,0.05,0.38828025477707007
MIMIC-IV,2,0.06,0.3926792952270659
MIMIC-IV,2,0.07,0.3974323765406568
MIMIC-IV,2,0.08,0.4013615683679378
MIMIC-IV,2,0.09,0.4046918686409132
MIMIC-IV,2,0.1,0.407949375465299
MIMIC-IV,2,0.11,0.4103267433203739
MIMIC-IV,2,0.12,0.4128877491934817
MIMIC-IV,2,0.13,0.41567044420547605
MIMIC-IV,2,0.14,0.4187128794772107
MIMIC-IV,2,0.15,0.42215236992307054
MIMIC-IV,2,0.16,0.42496484407312435
MIMIC-IV,2,0.17,0.4281081975349491
MIMIC-IV,2,0.18,0.43082471668458927
MIMIC-IV,2,0.19,0.4336934403176441
MIMIC-IV,2,0.2,0.4368731905037638
MIMIC-IV,2,0.21,0.43915956654810157
MIMIC-IV,2,0.22,0.4415683679377947
MIMIC-IV,2,0.23,0.4443047398461411
MIMIC-IV,2,0.24,0.44701629580610475
MIMIC-IV,2,0.25,0.4500074447845148
MIMIC-IV,2,0.26,0.45203738936223015
MIMIC-IV,2,0.27,0.45472578377036976
MIMIC-IV,2,0.28,0.4571114236082389
MIMIC-IV,2,0.29,0.45925717594507404
MIMIC-IV,2,0.3,0.461325171643643
MIMIC-IV,2,0.31,0.462946480271321
MIMIC-IV,2,0.32,0.4645793696749111
MIMIC-IV,2,0.33,0.46602696666390936
MIMIC-IV,2,0.34,0.4674977252047316
MIMIC-IV,2,0.35000000000000003,0.46918851848788157
MIMIC-IV,2,0.36,0.47084126065017784
MIMIC-IV,2,0.37,0.4727206551410373
MIMIC-IV,2,0.38,0.4747241293738109
MIMIC-IV,2,0.39,0.47680701464140957
MIMIC-IV,2,0.4,0.4791959632723964
MIMIC-IV,2,0.41000000000000003,0.4809148812970469
MIMIC-IV,2,0.42,0.4826189097526677
MIMIC-IV,2,0.43,0.4843758788981719
MIMIC-IV,2,0.44,0.48626354537182565
MIMIC-IV,2,0.45,0.48798908098271154
MIMIC-IV,2,0.46,0.4894813466787989
MIMIC-IV,2,0.47000000000000003,0.4914120274629829
MIMIC-IV,2,0.48,0.4930465712631318
MIMIC-IV,2,0.49,0.49436016213086276
MIMIC-IV,2,0.5,0.49694432955579454
MIMIC-IV,2,0.51,0.4983373314583506
MIMIC-IV,2,0.52,0.49965092232608155
MIMIC-IV,2,0.53,0.5011233352634626
MIMIC-IV,2,0.54,0.5028339813053189
MIMIC-IV,2,0.55,0.5044900322607329
